Index;Start time in milliseconds;End time in milliseconds;"Script"
1;1760;4650;"으"
2;4670;6980;"5"
3;7000;9990;"지금 이란 생기가 좀 안 주시나요"
4;10000;13740;"미국도 우 이런 원유의 대해서 그거 슈즈 되었고"
5;13750;19660;"이것도 좀 분위기가 심상치가 않아요 언제 금 수출 내릴지도 모르는 거구요"
6;19680;24530;"빠른데 우리 긴 한데"
7;24550;28700;"위로 엄청 19"
8;28720;32570;"감히 지만 뭔가 오거든"
9;32580;34150;"[음악]"
10;34160;38200;"중국 거리도 안정적인 건 왜 뭐 그렇게 하지만 이 이런건 2 50 유리"
11;38210;40540;"더 넓습니다"
12;40550;45459;"아셨습니까 원년 버 확보되면 화기나 다른 칩의 큼 도움 될겁니다"
13;45469;50880;"제목 틈이란 리스크 팀의 뭐 수애는 받을 수 있는 거예요"
14;50900;57160;"요즘같은 쉐 디스크가 넝 커요 크다고 층 받을 수 있도록 하고 계시죠"
15;57170;61300;"아"
16;61320;65240;"5 아 a"
17;65250;67160;"3"
18;67170;73770;"아"
19;73790;76270;"야 없이 언급해 4 등 갑니다"
20;76280;81340;"밥을 한번 바꿔보고 그저 것이 아니라 가셨네요 드리면 좋습니다 가 3명이"
21;81350;83470;"좋네"
22;83480;91740;"버니 게 좋을 때 들어가지"
23;91760;92920;"이우정 님"
24;92930;96730;"지금 보고도 하겠습니까 예"
25;96740;99550;"[박수]"
26;99560;105599;"대원이 되어 손님 예"
27;105619;110660;"네 알겠습니다 그래서 이런 주셨는데요"
28;110680;116160;"이유에서 금수 조치 되었답니다 으"
29;116180;118230;"과장님"
30;118240;121649;"이러한 원유 금수 조치의 와 결정한 5 가장 뒈져 있겠"
31;121659;124620;"예 도우미 자태가 장조 되서 한번"
32;124630;127800;"예 그럼 일이 끝난"
33;127810;135570;"이거 잡아 팔 수 있으나"
34;135590;141190;"어떻게 금수 조치 사항이 와의 따른 공급 리스크가 불을 보듯 뻔한데"
35;141200;144369;"리스크 밖에 불가피한 걸 알고도 할 수 있다고"
36;144379;148839;"뭐 자 무조건 잘할 수 있다고 되는 상황이 아냐 이라는 언어를 들어올"
37;148849;154529;"방법이 없는 상황이라고 터키를 통해 는 됩니다"
38;154549;155949;"어딘"
39;155959;160210;"턱이랑 역 국경을 접하고 있고 오랜 우방 au 회원국 타임 더"
40;160220;164050;"게다가 이라 에서 절대적인 양의 흘려 수입하고 있어서 금수 조치에 동참"
41;164060;164979;"27 하신 바"
42;164989;169180;"터키 업체를 통해 서구의 수입할 수 있습니다 동악 터키는 제가 올해"
43;169190;172449;"덩어리 든 업체가 확보되어 있는 상태구요 규제 말씀입니다"
44;172459;176259;"이런것도 라인의 마는 것입니다 중 할수록 발생 하지만 이런 측에 요구할"
45;176269;179610;"수 있을 겁니다"
46;179630;184380;"4"
47;184400;185820;"처치 라"
48;185830;189859;"[음악]"
49;189879;192089;"리스크 좀 제가 그럴 때 어 1"
50;192099;195539;"총 득 예 부자 저도 좋은것 같습니다"
51;195549;197970;"터키 라는 저희 인프라 없게 됩니다"
52;197980;213810;"[음악]"
53;213830;215950;"a"
54;215970;218420;"4"
55;218430;222029;"으"
56;222049;226799;"to"
57;226819;230430;"아 co"
58;230450;234440;"아"
59;234460;236970;"4"
60;236980;241500;"5 아"
61;241520;246530;"좋은자료 될지 쓰레기가 될지"
62;246540;260610;"곧 개정이나 겠지"
63;260630;263810;"아"
64;263830;268210;"아 예"
65;268230;283899;"아 중국 원으로 추진해"
66;283919;286040;"가깝 외전은 들"
67;286050;291320;"이건 처음 기획할 때 보다 중국 사정에 덩달아 졌는데요 라 화장"
68;291330;295489;"아 동원할 수 있는 거 다 동원해 봐요 백업의 힘드니까"
69;295499;299959;"외국으로 커버 될거 가지가 쉼터에 국제적 씨카 어려우니까 사업이 g"
70;299969;303110;"아 아 그럼 병점 놈이 여기 어딨어"
71;303120;307700;"야 이러한 그때는 국제 점점 무시하고 밀어 붙혀 짜 나"
72;307710;310820;"내건 없는걸요"
73;310840;312450;"진행 한다"
