Index;Start time in milliseconds;End time in milliseconds;"Script"
1;870;1750;"[음악]"
2;1760;4650;"으"
3;4670;9900;"5"
4;9920;14960;"정씨 조개를 봐 주시던 음"
5;14980;20940;"94년도 인도네시아 천연자원 부정 사례 4 8 있다고 다시 이노래 작품인"
6;20950;22410;"점은"
7;22420;25500;"거래될 법인 주 부분인"
8;25510;31620;"인도네시아 닿도록 개체 파도 차이를 남길수 폭으로 벌써 해 막 깨알 피해"
9;31630;34110;"진사는"
10;34120;39600;"선전 까 5 to 9 7화 미워하고 총성 없는 전쟁 에 드디어 시작됐다"
11;39610;46659;"고 해서 접할 갑자기 괴로워 있더라는 거야 뭐야 지금 뭐"
12;46679;50900;"2001 년 뇌와 2 스탯 출 위장"
13;50910;54049;"2007 에 싱가폴 포도주 수출 및 이 사건"
14;54059;61120;"2011년 러시아 우리 우주 전쟁 이기순 bd 세월이 벌써 이 쓰던"
15;61140;64920;"[음악]"
16;64930;71040;"이찬열 이제 마코스 솔미 상큼 대주주 이 애비의 멀리 쎄 때문에 전담"
17;71050;76350;"2차 체력 생각하고 궁중 시술 이상을 ojt 때와 지난 번 바꿔 장산범"
18;76360;82080;"뱉었던 필히 사례들이 패션 싶어 같이 태양의 다뤄졌다 이 술이 장을 전차"
19;82090;89010;"이미 1종 개선은 세번째 전 나는 컴퓨터를 따로 가질 사거리 퍼져있어"
20;89020;91859;"그리고 올라 주행"
21;91869;99240;"모두와 가슴에서 10단 중보자 술사 컵이 전어축제 사건이 이소성"
22;99250;102060;"파장은 예 상대보다"
23;102070;106139;"그 사건으로 위한 안 누군가의 빈자리 될 자세한 미안합니다"
24;106149;108930;"난처했던 당시 를 떠올렸을 것이다"
25;108940;111719;"봤 어 아 그게 어쨌다는 거냐"
26;111729;119910;"뭘 말하고 싶은 거냐 그것을 문화는 결정 될 거고 그리고"
27;119920;122639;"먼지 아시죠 실패로 작사 글"
28;122649;127469;"신속하고 처하게 애교 생각해 봐 어 그러나 멈추지 않는다"
29;127479;130889;"간절하게 정리한 것이다"
30;130899;134250;"그리고 그 싸움을 채워 그랬어"
31;134260;139080;"아까 어쨌다는 거야 얼마나 합니다"
32;139090;141210;"우리 회산 먼저 어느"
33;141220;145110;"는 뭐 뭐 어둠의 일격 별난 4"
34;145120;148040;"뭐야"
35;148060;151070;"전부 하루에 왜 이제와서 그걸 떠나는 거예요"
36;151080;152940;"[음악]"
37;152950;170540;"으"
38;170560;175350;"문제가 세계사를 해서 주방까지 임박 될 보내게 시선은 뭐 우리가 선택하고"
39;175360;178229;"회사가 걸었 1"
40;178239;181860;"그렇다 레 밀어붙이고 2회 그래서 의"
41;181870;188790;"지금 어디 속 어케 여서 이런 쏟아붓는다 유무 하므로 2번지"
42;188800;192809;"하십니다 수많은 뭐야 이거"
43;192819;195930;"마음속에서 몇 번의 전쟁을 치러야"
44;195940;199229;"처럼 확신과 신념을 가질 수 있게 되는 것일까"
45;199239;204780;"침도 실로 의 아세탈 있어 지원 우표 싸운 거장 다 업체"
46;204790;208299;"지세희"
47;208319;214970;"15 3 서울에서 회전 상사인 정체 물 다소 대치동으로 일정 퍼져서 무려"
48;214980;218360;"자작 일정은 상품을 발사했습니다"
49;218370;222720;"위 사업은 천재도 순환기계 시작"
50;222740;228520;"사회가 않아 않아 지나가고 사업의 도저히 예정 수익을 받았죠"
51;228530;232750;"신성 장사꾼 빨 당시 신행 t 잡았던 예상 2수 이긴 하다 이쪽 집으로"
52;232760;238000;"빼 지정을 물론 큰 사치다 로 우대 상상 역적 정확한 이 책들이 다 더"
53;238010;241960;"이상 실제로 엄 거의 동일함"
54;241970;247270;"사업개시 전 대게 회사의 도와 사람 계실 일 년 후 내게 회사의 추가를"
55;247280;254440;"봐 2 조 제 3 순간으로 깨 없이 상승하여 수가 점점"
56;254450;255670;"[음악]"
57;255680;260680;"바둑의 산후 상대가 나를 무시하는 한가한 수를 두거나 지나치게 과욕을"
58;260690;266860;"부리거나 죄를 속으로 쓰리 그 일을 잊혀져 해 봤습니까"
59;266870;268719;"음"
60;268729;270370;"으 아"
61;270380;271830;"[음악]"
62;271840;275850;"중요한 곳임에도 애써 싸움을 피하듯 괴를 부리면"
63;275860;278790;"저희를 교회와"
64;278800;281310;"들어가겠습니다"
65;281320;285840;"끝까지 추궁한다 그럼 지금 너"
66;285850;294109;"[음악]"
67;294129;298979;"판을 바꾸고 새 판을 짠다"
68;298989;306440;"4"
69;306460;309540;"진짜 뭐 율 안구 지어서 0"
70;309550;313020;"합작 프로젝트를 그래야 대체"
71;313030;316850;"시작하겠습니다"
72;316870;322170;"이번 사업의 흐르는 국내 중고자동차 49 와 전지를 거쳐야만 요르단"
73;322180;325200;"직수출 익숙한 원인 탕에 보고 메뉴라서 a 단지"
74;325210;328500;"뭐 있을까"
75;328520;330830;"2.50 없었지"
76;330840;334220;"물론 충무 저서 베젤 캐쉬는"
77;334230;338880;"마셔본 걱정이"
78;338900;342159;"여당 정보 차수 출사 오르"
79;342169;347440;"꼭 서설 해 지도록"
80;347460;350570;"lee"
81;350590;353410;"총 won"
82;353420;358080;"아 아 아 아"
83;358100;365450;"아 woo woo"
84;365470;368089;"re 2"
85;368099;371210;"말 봤고 r 결혼할 없는지"
86;371220;374930;"이거 오빠 보게 힘들어 하는거 사람이 로 보이는 니가 처음에 때 요즘"
87;374940;379279;"아예 그게 아니고요 이 아이디어를 처음 5천이 받을수도 첨단 이미 목에"
88;379289;381020;"힘이 더 갔을 거고"
89;381030;384650;"으 으 아 주 거야 자 그랬어요"
90;384660;396079;"아 솔직히 이렇게까지 잘할 줄 몰랐네요"
91;396099;400250;"고맙습니다"
92;400270;403560;"그럼 오신 피부 이상 하시더라구요"
93;403570;409840;"도저히 않게 잘 해야겠다는 생각 같은것"
94;409860;412920;"축하요 참 그래 c 아"
95;412930;416540;"에 축하해요 전에 c"
96;416560;419880;"좋았어 저 먼저 갈게요"
97;419890;425210;"밤에 일본에게 중 있어서"
98;425230;430250;"아 저야"
99;430270;431250;"축하해 저거 왜"
100;431260;435320;"10 5"
101;435340;445730;"다이"
102;445750;451200;"아"
103;451220;460630;"으"
104;460650;463910;"5"
105;463930;466290;"이런데서 만날 줄은 몰랐네요"
106;466300;469830;"나몰라 한주의 마무리 는 싸움에 자거든요"
107;469840;474540;"아 전 창고 정리하다가 먼지를 다 뒤집어 써서"
108;474550;477090;"그래 마지막이야"
109;477100;481699;"예 월요일에 뵙겠습니다"
110;481719;485860;"아처 강대리 님"
111;485880;489530;"술 한잔 하시죠"
112;489550;498060;"요는 이라는 데에 있어서 동기부여가 안된다는 겁니까"
113;498080;504010;"제 동기들은 뭔가 열심히 이런애 가고 있는것 같은데"
114;504030;507869;"저는 제자리걸음만 하고 있는 것 같고"
115;507889;510920;"그러다 보니까"
116;510940;514709;"g 찾은 것 같은 기분 되지 뭐 5"
117;514729;519130;"남자한테 보이는 건 상관없어요 화려하진 않아도 필요한 일을 하는게"
118;519140;520000;"중요합니다"
119;520010;533810;"[음악]"
120;533830;539210;"우리는 안 볼 수도 있지만"
121;539230;545170;"존재하지 않는다고 생각하면 안됩니다 우리가 결정하는 숫자를 누군가는"
122;545180;549470;"목숨을 건 내 노래"
123;549490;553410;"장 매끼 c 동기는 스스로 성취 하세요 그게 안되면"
124;553420;556570;"버티기 힘들겁니다"
125;556590;571490;"[음악]"
126;571510;575970;"그러니까 아"
127;575990;579699;"전 내에 완벽 깔끔 품에서 나네"
128;579709;583509;"아 잘해 스킬이 살짝 했던"
129;583519;586480;"열심히 우리 커피를 한잔씩 하시고"
130;586490;588110;"4"
131;588120;591370;"물도"
132;591390;597790;"요즘 방 속도 아주 빨라 줬어요"
133;597810;602480;"너무 셈이 됐다 부처님 시대가 가 혹은 너한테 한걸까"
134;602490;607220;"* 스위티 같이 가봐야지 예 오늘은 와인들도 봤어요 아십니까"
135;607230;611410;"안녕하세요 아예"
136;611430;614650;"e25"
137;614670;617630;"인상 근거 예 사람 모두 달려야"
138;617640;624230;"힘 중 때에 찾은 이렇게 아직이야 영업 섬김"
139;624250;630210;"저사람 도어 짧게 끝날 때면 이렇게 저 역시도 얼른 데모"
140;630230;635340;"그만 자라 색다 시켰다"
141;635360;636010;"아이와"
142;636020;645869;"따는 데나 닫을 때 것 하지만 않죠 아 예"
143;645889;652840;"음 으 아 맡아 메뉴를 커 칼 받았다"
144;652850;655610;"벌써 서운할 뻔 했다"
145;655620;659690;"벌써 옷을 땅 해 단 심하다"
146;659700;662249;"[음악]"
147;662259;664590;"여긴 아직도 손글씨 9년 어쩜 부르면"
148;664600;668280;"사장 굳이 비세요 정성이 치"
149;668290;673330;"털이 밥먹고 살게 해준 분들에 대한"
150;673350;678620;"4"
151;678640;681690;"5"
152;681710;692820;"요청 주 론 3"
153;692840;699700;"그냥 음 어 아"
154;699720;703790;"여기 이거 항상 없으니까"
155;703800;707900;"5 상식 차장 영업 3팀 1동 이렇게 적어지고 남겨 가져 갑니다"
156;707910;712639;"예 2분들 더 개 우리 그냥 무사의 학교 다니고"
157;712649;716660;"우리만 내심 바지 사고 겨울에 옷도 따뜻하게 있고"
158;716670;720630;"저역시 사랑 곳이라는 살고 있습니다 하는 마음으로"
159;720640;734500;"4"
160;734520;739990;"저역시 사람 구실 암에 살고 있습니다"
161;740010;743900;"저희 어 때"
162;743920;745610;"그렇죠 아"
163;745620;748970;"첫번째 메리 크리스마스"
164;748980;751400;"뭐 아 에"
165;751410;754379;"[음악]"
166;754389;759200;"감사합니다"
167;759220;770560;"[음악]"
168;770580;773869;"더할 나위 없었다"
169;773889;775790;"아 리 어스"
170;775800;779060;"아 lee"
171;779080;785290;"오오오"
172;785310;788249;"woo"
173;788259;790750;"we"
174;790760;794920;"황당한 죄악의 뭐고 취하라"
175;794930;799660;"알게 돼 너무 나 we"
176;799670;808890;"나타났다"
177;808910;812319;"새해를 맞아 시무식 이 열렸다"
178;812329;815070;"모든 임직원이 참석한 대규모 심어 시"
179;815080;818850;"[음악]"
180;818870;824050;"지난 한해 가장 뛰어난 성과를 거둔 팀에 대한 소개와 보상 이 이루어졌다"
181;824060;829600;"타"
182;829620;831460;"[음악]"
183;831470;835299;"가 팀의 실적도 있는 앞으로 줄까"
184;835309;846250;"요르단 건으로 기대감에 부터 마 트 크 러시 능숙합니다"
185;846270;848990;"어차피 뭐 더 가지마 안녕하세요"
186;849000;853460;"아 rto 텐 1차 저인데 아 안녕하세요"
187;853470;857570;"헤이 들어가셨습니다 으 그 반 일인데"
188;857580;862010;"창녕 개산 중인데 말이야 영업 3팀 자료가 빼짝 누락 돼서"
189;862020;868040;"2분기 우리 팅 한 집 보관해서 단계 원자로 내에 방목 액수가 티로 안돼"
190;868050;873560;"자 줄 수 있겠나"
191;874630;879630;"때 좀 함수 져 갔다 왔어 예 그 책의 자 없을 땐 자리 한번 공개"
192;879640;884790;"하지마 니가 채워줄 수 없는 일을 하는 거야"
193;884800;893840;"떠나겠습니다"
194;893860;894780;"오직"
195;894790;899859;"낸 채웠어요"
196;899879;903840;"대신 것"
197;903860;907540;"웃음이 숙소 흔히 찰 1차 상에 와서"
198;907550;911980;"장비 또 본 거 같애 거기 인력 무 잘 한다고 하더냐"
199;911990;920479;"경험 4 연초부터 남의 칭하고 사람 개발 국민 하고"
200;920499;925490;"추 럼 확인 해야 돼서 동천 시간 야 너"
201;925510;934460;"아 네 아 생각 좀 5 10 아냐 제 5장 80 해드릴께요 예 할수록 예"
202;934480;936270;"빨고 차장님"
